city_name,locode,region_name,population,fcm_dependency_pct,fcm_dependency_band,poverty_rate,median_household_income,city_id,country_code,disability_prevalence,electricity_access_rate,employment_agriculture_forestry,employment_construction,employment_electricity_gas,employment_in_transport_and_logistics,employment_manufacturing,employment_mining,employment_water_waste,fixed_internet_household_share,home_ownership,indigenous_identification_rate,literacy_rate,mean_years_schooling,public_transport_share,renter_share,unemployment_rate,total_income_2023_mclp,ipp_percapita_2023_mclp,ipp_share_total_pct_2023,total_income_pc_clp,staff_planta_2023,staff_contrata_2023,total_staff_2023,professionalization_pct_2023,staff_per_1000_2023,prof_staff_abs,p_fcm,p_ipppc,p_ippsh,cofinance_score,p_prof,p_profstaff,p_totinc,anchor_score,composite_score
Monte Patria,CL MTP,Coquimbo,29956.0,82.77,very high (dependent),31.18,663917.0,66tb86dp9bepbfk7y214,CL,14.39,98.61,33.7,6.53,0.47,4.5,3.56,13.21,1.37,18.57,66.6,13.36,93.78,8.43,19.42,11.1,6.92,10982987.0,50.79,15.1,366637.0,72.0,45.0,117.0,35.9,3.91,42.003,17.83439490445859,8.974358974358974,25.0,17.3,40.06734006734007,57.23905723905723,55.44871794871795,50.9,34.1
Puqueldón,CL PQD,Los Lagos,4034.0,82.55,very high (dependent),33.26,792392.0,627ts251jth0gvf06wse,CL,13.28,99.22,34.06,10.15,0.5,6.6,9.4,0.31,1.06,11.83,82.26,30.98,95.14,8.56,26.04,8.8,4.6,5555396.0,109.87,8.29,1377143.0,40.0,20.0,60.0,35.0,14.87,21.0,18.152866242038215,54.166666666666664,6.41025641025641,26.2,36.7003367003367,15.31986531986532,22.115384615384613,24.7,25.4
Curepto,CL CRT,Maule,9498.0,82.51,very high (dependent),25.32,599778.0,63ub4sv6hnxd5umz1hd3,CL,16.77,98.91,29.29,9.96,1.42,2.68,5.42,1.23,1.07,17.16,72.1,6.21,92.81,8.5,8.31,8.69,0.0,6048589.0,86.72,13.2,636828.0,58.0,23.0,81.0,43.21,8.53,35.000099999999996,18.471337579617824,38.46153846153847,21.794871794871796,26.2,67.67676767676768,46.12794612794613,26.923076923076923,46.9,36.6
Curacautín,CL CCN,La Araucanía,18415.0,82.44,very high (dependent),32.04,797750.0,63hvqu91pzvmnrnb5w7r,CL,14.94,99.32,10.85,11.17,1.04,4.62,8.05,2.35,0.68,32.29,71.66,15.07,94.31,9.26,10.38,13.21,10.45,10718034.0,69.23,11.76,582027.0,53.0,47.0,100.0,45.0,5.43,45.0,18.789808917197448,21.153846153846153,17.94871794871795,19.3,73.73737373737373,60.60606060606061,53.205128205128204,62.5,40.9
Hualqui,CL HQI,Biobío,25662.0,82.36,very high (dependent),33.4,786699.0,63kjmb0yq2ccj0zqbrb8,CL,14.71,99.48,9.16,13.67,1.13,5.36,8.98,2.66,0.77,57.16,70.82,7.24,93.9,9.39,40.7,13.65,13.35,8601609.0,49.75,15.4,335189.0,46.0,22.0,68.0,66.18,2.65,45.0024,19.10828025477707,8.012820512820513,25.64102564102564,17.6,96.63299663299664,60.94276094276094,43.58974358974359,67.1,42.3
Perquenco,CL PQC,La Araucanía,7438.0,82.23,very high (dependent),40.26,719935.0,63hmrsm5pvfz30knvwy1,CL,15.24,96.82,22.56,8.67,0.82,4.48,11.24,1.05,1.23,26.92,75.6,51.26,93.83,8.82,4.55,9.66,13.52,5195678.0,93.75,13.1,698532.0,43.0,11.0,54.0,44.44,7.26,23.9976,19.42675159235668,43.269230769230774,21.474358974358974,28.1,71.88552188552188,19.52861952861953,17.628205128205128,36.3,32.2
Río Hurtado,CL RHU,Coquimbo,4322.0,82.01,very high (dependent),31.63,644976.0,66tfbhr3unuts3f8eexb,CL,16.67,97.68,21.06,9.96,0.26,5.3,4.15,11.74,1.85,5.48,69.89,12.84,92.66,8.41,13.08,9.95,3.97,4071388.0,122.44,13.01,942015.0,30.0,23.0,53.0,60.38,12.26,32.0014,19.745222929936304,62.17948717948718,20.833333333333336,34.3,94.61279461279462,39.73063973063973,7.051282051282051,47.1,40.7
Longaví,CL LON,Maule,33288.0,81.79,very high (dependent),29.58,703328.0,63t4w63byskhnq6v3j23,CL,15.65,98.93,45.2,6.57,0.62,5.32,4.58,1.44,0.77,22.17,77.03,4.84,92.14,8.32,14.79,8.24,6.95,11164038.0,46.85,14.04,335377.0,71.0,35.0,106.0,33.96,3.18,35.9976,20.063694267515913,7.371794871794872,23.076923076923077,16.8,32.659932659932664,47.81144781144781,56.08974358974359,45.5,31.2
Coltauco,CL CTC,Libertador General Bernardo O'Higgins,21348.0,81.72,very high (dependent),25.65,800000.0,63vmne4zjb3mnz56pw70,CL,14.31,99.38,30.85,6.57,0.41,6.25,13.15,3.01,0.74,41.79,70.43,4.31,94.23,8.95,17.86,12.28,2.3,7805752.0,46.53,13.08,365643.0,68.0,17.0,85.0,36.47,3.98,30.999499999999998,20.382165605095537,6.41025641025641,21.153846153846153,16.0,41.75084175084175,37.37373737373738,40.06410256410257,39.7,27.8
Gorbea,CL GOR,La Araucanía,14058.0,81.3,very high (dependent),38.78,700000.0,63h34kgwund0z77p2jr8,CL,13.7,99.08,17.01,10.2,1.0,6.58,8.78,0.82,0.64,32.68,66.72,19.14,94.39,9.26,24.63,14.56,5.06,7835955.0,65.86,12.69,557402.0,47.0,31.0,78.0,30.77,5.55,24.0006,20.70063694267516,18.58974358974359,19.55128205128205,19.6,17.845117845117844,21.548821548821547,40.705128205128204,26.7,23.2
Lo Prado,CL LPR,Metropolitana de Santiago,91118.0,81.27,very high (dependent),17.57,1014082.0,66j9wxjnkt6kc4syfzwy,CL,13.7,99.94,0.29,9.84,1.17,11.07,8.95,0.95,0.46,67.01,51.56,10.63,96.19,9.96,64.51,32.06,14.27,50060053.0,34.58,7.11,549398.0,45.0,154.0,199.0,39.7,2.18,79.003,21.01910828025477,1.282051282051282,5.128205128205128,9.1,54.54545454545454,78.78787878787878,88.46153846153845,73.9,41.5
Yumbel,CL YUM,Biobío,23027.0,81.25,very high (dependent),28.17,652736.0,63km584xes3r8fzrs5v1,CL,15.59,98.92,14.29,12.11,1.21,5.05,10.07,1.97,0.97,31.49,73.32,4.42,92.64,9.15,21.22,11.38,7.32,11593234.0,77.51,14.84,503463.0,73.0,35.0,108.0,42.59,4.69,45.99720000000001,21.337579617834393,27.884615384615387,24.358974358974358,24.5,64.98316498316498,61.61616161616161,56.730769230769226,61.1,42.8
Licantén,CL LIC,Maule,6865.0,80.88,very high (dependent),18.75,897796.0,63uc01phrmnpewe4wcby,CL,12.0,99.24,19.18,10.48,0.25,4.15,7.74,0.92,0.92,33.88,65.19,16.09,94.14,9.39,16.98,16.95,3.4,7330222.0,156.64,14.93,1067767.0,33.0,24.0,57.0,43.86,8.3,25.0002,21.656050955414003,75.32051282051282,24.679487179487182,40.6,70.03367003367003,24.579124579124578,36.858974358974365,43.8,42.2
Quilleco,CL QLO,Biobío,9693.0,80.79,very high (dependent),29.04,739364.0,63kghbb5tjsr064cnd3b,CL,14.77,99.38,23.29,14.44,2.07,4.46,7.01,1.87,1.16,30.43,70.21,4.09,93.15,8.81,15.42,10.58,6.06,4639328.0,71.31,15.37,478627.0,24.0,45.0,69.0,46.38,7.12,32.0022,21.974522292993626,23.397435897435898,25.320512820512818,23.6,78.11447811447812,40.06734006734007,11.538461538461538,43.2,33.4
Traiguén,CL TRA,La Araucanía,18531.0,80.72,very high (dependent),50.99,592936.0,63hq6tq5pwtqrvcum6hv,CL,16.15,98.73,20.64,8.09,0.46,4.24,5.32,0.52,0.68,37.13,71.11,32.83,92.61,8.81,9.38,13.81,10.91,10171608.0,68.48,12.99,548897.0,64.0,44.0,108.0,52.78,5.83,57.00240000000001,22.29299363057325,20.833333333333336,20.51282051282051,21.2,88.55218855218855,69.6969696969697,50.641025641025635,69.6,45.4
Lo Espejo,CL LEJ,Metropolitana de Santiago,87079.0,80.56,very high (dependent),21.52,1033390.0,66j9r3v1t8dpw1ubj30m,CL,14.2,99.92,0.38,10.73,1.34,10.76,11.08,0.86,1.03,65.05,54.22,8.92,94.95,9.24,62.57,20.53,11.23,28013346.0,45.71,16.58,321700.0,106.0,105.0,211.0,45.97,2.42,96.9967,22.61146496815286,5.769230769230769,28.846153846153843,19.1,77.44107744107744,84.51178451178451,82.6923076923077,81.5,50.3
Villa Alegre,CL VAG,Maule,17919.0,80.52,very high (dependent),21.69,794472.0,63thbz9eh5yjfbm6kxvj,CL,17.1,99.73,26.06,9.97,0.8,5.17,9.95,1.28,0.65,45.79,74.12,3.71,93.21,8.84,9.95,9.81,6.65,5988728.0,54.04,16.16,334211.0,44.0,42.0,86.0,32.56,4.8,28.0016,22.929936305732483,10.256410256410255,28.205128205128204,20.5,25.589225589225588,30.303030303030305,26.602564102564102,27.5,24.0
Coelemu,CL COE,Ñuble,15859.0,80.23,very high (dependent),34.87,760078.0,63s22d2vg4xbe51c6c15,CL,15.74,99.37,20.21,7.41,1.8,6.36,10.34,0.96,0.58,40.28,64.44,3.95,93.02,9.08,8.25,15.68,5.55,7082328.0,69.61,16.61,446581.0,54.0,26.0,80.0,32.5,5.04,26.0,23.248407643312092,21.794871794871796,29.166666666666668,24.7,25.252525252525253,26.430976430976433,33.65384615384615,28.4,26.6
Pitrufquén,CL PIT,La Araucanía,26811.0,80.15,very high (dependent),29.94,803128.0,63h3dkzzx3nmmdsvxb7s,CL,15.92,99.12,13.04,11.74,1.16,5.79,8.24,0.82,0.95,40.17,69.62,34.34,94.61,9.48,28.28,14.03,9.48,9164930.0,60.14,17.39,341835.0,63.0,37.0,100.0,46.0,3.73,46.0,23.566878980891715,14.423076923076922,30.448717948717945,22.8,77.77777777777779,61.95286195286195,45.83333333333333,61.9,42.4
Lago Verde,CL LVD,Aysén del General Carlos Ibáñez del Campo,762.0,80.14,very high (dependent),27.79,717500.0,62hfvkkhsfcku2cru3qw,CL,11.37,98.11,28.4,5.62,2.37,3.25,4.14,0.3,2.07,10.78,57.91,28.59,92.56,8.78,0.0,19.84,5.48,3067915.0,489.76,14.61,4026135.0,,,,,,,23.88535031847134,94.23076923076923,23.717948717948715,47.3,,,2.564102564102564,2.6,25.0
Lanco,CL LAN,Los Ríos,16861.0,80.05,very high (dependent),23.2,875994.0,62ur5rn8yc7pe0gtbwrm,CL,15.11,98.93,14.67,9.62,1.06,5.5,14.42,1.54,0.82,37.25,71.22,33.41,94.71,9.31,14.97,15.1,8.8,6340514.0,56.6,16.03,376046.0,45.0,44.0,89.0,40.45,5.28,36.0005,24.20382165605095,12.82051282051282,27.564102564102566,21.5,58.24915824915825,48.484848484848484,28.525641025641026,45.1,33.3
Máfil,CL MAF,Los Ríos,8036.0,80.0,very high (dependent),32.89,873481.0,62unjyq2bu87wkf13yp2,CL,12.92,98.94,24.26,8.91,0.39,4.76,9.94,1.03,1.22,31.71,67.65,17.83,94.39,9.31,26.61,13.06,15.02,4112239.0,78.14,14.03,511727.0,30.0,23.0,53.0,37.74,6.6,20.002200000000002,24.522292993630572,29.166666666666668,22.756410256410255,25.5,46.801346801346796,13.468013468013467,7.371794871794872,22.5,24.0
Ñiquén,CL NQN,Ñuble,12783.0,79.85,very high (dependent),33.57,671448.0,63sc7zmtdscgknsv6pw3,CL,17.0,98.03,35.67,11.6,1.09,4.49,5.11,4.23,1.01,9.62,76.06,3.03,91.66,8.27,4.02,6.85,6.27,4973856.0,76.72,17.8,389099.0,30.0,25.0,55.0,45.45,4.3,24.997500000000002,24.84076433121018,26.923076923076923,31.73076923076923,27.8,75.75757575757575,22.22222222222222,14.743589743589745,37.6,32.7
Tomé,CL TOM,Biobío,56766.0,79.55,very high (dependent),20.35,932386.0,63kpwn477xwnbfszvp8k,CL,15.75,99.53,7.85,10.1,0.97,6.19,9.74,1.62,0.55,58.71,71.02,5.35,95.42,10.13,41.15,14.14,11.79,23499209.0,64.02,16.09,413966.0,273.0,187.0,460.0,60.0,8.1,276.0,25.15923566878982,16.346153846153847,27.884615384615387,23.1,94.27609427609428,97.97979797979798,79.48717948717949,90.6,56.8
Yungay,CL YUN,Ñuble,18500.0,79.35,very high (dependent),32.58,705419.0,63kugjmdxkp029v1p7gv,CL,17.36,99.0,10.58,12.19,1.89,5.3,17.58,1.58,1.25,33.36,67.04,4.24,94.26,9.33,15.66,15.75,12.56,8567121.0,82.63,18.12,463088.0,58.0,27.0,85.0,48.24,4.59,41.004,25.477707006369428,33.65384615384615,32.69230769230769,30.6,81.48148148148148,55.892255892255896,42.94871794871795,60.1,45.4
Torres del Paine,CL TDP,Magallanes y de la Antártica Chilena,197.0,79.09,very high (dependent),6.87,1147000.0,4qujw6w6bfh7c0w1j5se,CL,10.11,100.0,34.25,1.37,0.0,0.68,0.68,0.0,0.0,20.0,25.0,14.21,96.28,11.02,10.09,29.0,10.83,2436858.0,408.94,17.94,12369838.0,18.0,5.0,23.0,34.78,116.75,7.9994,25.79617834394905,92.62820512820514,32.371794871794876,50.3,35.69023569023569,0.33670033670033667,0.9615384615384616,12.3,31.3
Quemchi,CL QMC,Los Lagos,8401.0,78.19,very high (dependent),27.08,756162.0,62eb13x8venve45t3xmy,CL,13.22,99.2,30.71,7.1,0.83,6.76,17.05,0.11,0.97,14.04,79.75,39.27,93.59,8.58,6.71,11.21,10.07,5163129.0,103.36,17.54,614585.0,35.0,35.0,70.0,38.57,8.33,26.999,26.11464968152866,50.0,30.76923076923077,35.6,49.32659932659932,28.78787878787879,17.307692307692307,31.8,33.7
Pumanque,CL PUM,Libertador General Bernardo O'Higgins,4559.0,78.08,very high (dependent),32.82,763000.0,63v50w58ktx66tth8qez,CL,13.74,98.69,32.53,10.73,0.73,2.91,8.44,1.01,0.84,6.98,72.59,3.88,92.5,8.78,7.77,5.8,11.78,3627420.0,152.59,14.81,795661.0,15.0,14.0,29.0,48.28,6.36,14.0012,26.59235668789809,74.35897435897436,24.03846153846154,41.7,81.81818181818183,4.040404040404041,3.8461538461538463,29.9,35.8
Quinchao,CL QCO,Los Lagos,7663.0,78.08,very high (dependent),25.83,704960.0,627y4enp2cq368x16m18,CL,12.56,99.23,24.38,5.91,1.3,7.61,6.59,0.07,0.65,14.77,78.8,47.44,93.58,8.85,22.49,13.72,6.75,8966187.0,108.59,9.95,1170062.0,69.0,14.0,83.0,38.55,10.83,31.996499999999997,26.59235668789809,52.88461538461539,12.179487179487179,30.6,48.821548821548824,39.05723905723906,45.19230769230769,44.4,37.5
Freire,CL FRE,La Araucanía,26153.0,78.01,very high (dependent),42.47,695000.0,63h6khqwwuj2xc62t031,CL,13.64,97.09,24.2,10.55,0.72,5.44,8.43,0.87,1.34,20.23,73.62,54.94,93.4,8.79,37.68,8.17,14.27,8757986.0,65.7,19.12,334875.0,52.0,42.0,94.0,29.79,3.59,28.0026,27.070063694267517,18.269230769230766,34.61538461538461,26.7,13.804713804713806,30.976430976430976,44.230769230769226,29.7,28.2
Curanilahue,CL CRN,Biobío,31041.0,77.72,very high (dependent),24.26,786521.0,637fv2rw0t9egwutn2j4,CL,12.82,99.06,10.77,6.99,0.55,5.05,11.38,3.48,0.8,59.43,74.54,12.78,93.78,9.19,13.86,9.01,10.31,16503569.0,56.79,11.68,531670.0,83.0,52.0,135.0,29.63,4.35,40.0005,27.38853503184714,13.461538461538462,16.666666666666664,19.2,12.962962962962962,53.87205387205387,69.55128205128204,45.5,32.4
El Carmen,CL ELC,Ñuble,13122.0,77.69,very high (dependent),25.02,738063.0,63kvvjfxcz959b8c40ym,CL,16.47,99.21,27.24,10.98,0.84,5.98,5.17,1.65,0.96,25.46,70.46,2.69,92.93,8.57,14.2,10.05,10.47,5737797.0,84.01,17.91,437265.0,61.0,40.0,101.0,28.71,7.7,28.997100000000003,27.70700636942675,35.256410256410255,32.05128205128205,31.7,9.427609427609427,31.64983164983165,24.679487179487182,21.9,26.8
Coinco,CL COO,Libertador General Bernardo O'Higgins,7914.0,77.68,very high (dependent),23.45,915662.0,63vscp07hwcsrdm118kr,CL,13.37,99.46,22.6,6.07,0.5,7.81,12.49,3.58,1.49,39.63,67.9,5.17,95.2,9.26,15.42,11.1,8.28,4005266.0,87.16,17.37,506099.0,37.0,32.0,69.0,43.48,8.72,30.001199999999997,28.025477707006374,39.42307692307692,30.128205128205128,32.5,68.51851851851852,35.01683501683502,6.41025641025641,36.6,34.6
Putaendo,CL PTO,Valparaíso,17057.0,77.54,very high (dependent),26.78,850000.0,66jz5nzxp5cdh894f7gb,CL,13.45,99.4,19.14,7.99,0.6,5.36,6.61,5.4,1.83,37.55,68.83,6.43,95.13,9.71,15.3,12.06,12.77,6326347.0,63.92,18.13,370894.0,56.0,29.0,85.0,41.18,4.98,35.003,28.343949044585997,16.025641025641026,33.01282051282051,25.8,60.77441077441077,46.96969696969697,28.205128205128204,45.3,35.6
Colchane,CL CNE,Tarapacá,684.0,77.27,very high (dependent),34.88,537834.0,6kx1cmj2jc6sz1z24v0n,CL,13.85,83.4,23.59,15.38,0.0,7.18,2.05,1.03,1.54,2.86,51.82,90.63,85.97,6.17,0.0,17.81,11.86,4420422.0,342.9,12.17,6462605.0,18.0,9.0,27.0,51.85,39.47,13.9995,28.662420382165607,91.02564102564102,18.58974358974359,46.1,87.54208754208754,3.7037037037037033,9.935897435897436,33.7,39.9
Maule,CL MAU,Maule,61008.0,76.66,very high (dependent),27.0,830231.0,63tjbpv95r3137t4ppw9,CL,10.84,99.74,9.15,10.25,1.36,6.14,8.86,1.76,0.66,63.35,74.1,3.71,94.8,9.81,30.72,17.09,8.1,14568177.0,43.08,19.78,238791.0,39.0,38.0,77.0,33.77,1.26,26.002900000000004,28.98089171974523,3.8461538461538463,36.217948717948715,23.0,30.47138047138047,27.77777777777778,64.42307692307693,40.9,32.0
Negrete,CL NEG,Biobío,10723.0,76.53,very high (dependent),26.57,677146.0,63k6h3xt0801fkfx0pzz,CL,17.23,99.3,17.8,14.32,1.2,5.41,12.45,3.29,0.75,23.96,73.92,8.53,92.65,8.68,15.74,10.79,7.36,5298433.0,84.07,16.72,494119.0,24.0,32.0,56.0,35.71,5.22,19.997600000000002,29.29936305732484,35.57692307692308,29.48717948717949,31.5,39.225589225589225,12.457912457912458,18.269230769230766,23.3,27.4
Cabrero,CL CAB,Biobío,31242.0,76.36,very high (dependent),29.82,837748.0,63kt0vjd1rfg5h8pkt6t,CL,14.31,99.61,9.04,10.12,3.15,8.14,17.39,1.73,0.74,45.08,71.65,5.04,93.32,9.19,16.94,14.86,12.02,13111972.0,84.69,20.04,419691.0,64.0,59.0,123.0,45.53,3.94,56.001900000000006,29.617834394904463,36.217948717948715,37.17948717948718,34.3,76.43097643097643,68.35016835016835,62.17948717948718,69.0,51.6
San Gregorio,CL SGR,Magallanes y de la Antártica Chilena,224.0,76.32,very high (dependent),4.83,1000000.0,4qwn653cdmr85n3dhnu9,CL,4.61,95.37,42.47,5.48,0.0,4.11,0.68,2.05,0.0,16.36,25.45,22.32,97.24,9.87,12.82,11.82,0.0,2473686.0,771.89,20.53,11043241.0,16.0,8.0,24.0,91.67,107.14,22.0008,29.936305732484087,97.43589743589743,39.1025641025641,55.5,99.32659932659934,16.4983164983165,1.282051282051282,39.0,47.2
Vilcún,CL VCN,La Araucanía,31515.0,76.3,very high (dependent),37.25,748973.0,63heyfn37876tv826h5k,CL,11.94,98.32,16.37,11.05,1.06,6.92,8.67,0.76,1.08,31.68,75.51,36.77,94.02,9.17,23.06,11.53,14.71,12882412.0,63.52,15.9,408771.0,51.0,28.0,79.0,55.7,2.51,44.00300000000001,30.254777070063696,15.705128205128204,27.24358974358974,24.4,91.58249158249158,59.25925925925925,61.53846153846154,70.8,47.6
Punitaqui,CL PUN,Coquimbo,12063.0,76.2,very high (dependent),39.46,713917.0,66mrby3nj1pyej52cfcj,CL,14.91,98.28,18.72,7.99,0.67,3.83,4.66,21.49,1.17,20.44,70.25,19.19,93.73,8.61,20.21,11.72,12.48,5356437.0,84.27,19.57,444039.0,,,,,,,30.57324840764332,35.8974358974359,35.8974358974359,34.1,,,19.55128205128205,19.6,26.8
Fresia,CL FRS,Los Lagos,12297.0,76.16,very high (dependent),35.48,848280.0,62etvh4ehvq4e4ktrm33,CL,14.11,99.03,30.94,10.11,0.43,4.89,6.87,0.24,0.6,33.95,73.19,23.64,92.93,8.51,24.06,11.62,4.02,4854920.0,74.48,19.32,394805.0,45.0,14.0,59.0,42.37,4.8,24.998299999999997,30.89171974522293,25.64102564102564,34.93589743589743,30.5,64.14141414141415,23.063973063973066,13.141025641025642,33.4,32.0
San Fabián,CL SFN,Ñuble,5241.0,76.02,very high (dependent),31.27,738668.0,63mrcuf56ftf1evfu8nz,CL,15.41,99.25,18.61,12.81,1.18,3.08,6.87,1.38,1.03,25.72,69.19,4.37,91.71,9.12,4.22,14.99,3.27,3273210.0,136.98,19.92,624539.0,25.0,17.0,42.0,59.52,8.01,24.998400000000004,31.210191082802552,69.23076923076923,36.53846153846153,45.7,93.60269360269359,23.56902356902357,3.5256410256410255,40.2,43.0
Los Vilos,CL LOS,Coquimbo,22835.0,75.9,very high (dependent),25.04,864257.0,66m616w4qwyxf9gzyt0c,CL,13.52,98.4,10.04,10.38,1.53,5.83,5.37,5.96,1.2,44.74,66.38,11.87,94.61,9.38,12.35,17.57,3.59,13865882.0,122.9,21.42,607221.0,56.0,53.0,109.0,45.87,4.77,49.9983,31.528662420382176,63.141025641025635,40.705128205128204,45.1,76.76767676767676,65.31986531986533,63.46153846153846,68.5,56.8
Cauquenes,CL CAU,Maule,42064.0,75.87,very high (dependent),33.44,701442.0,63se75wu6rvrbs3p9k55,CL,12.83,99.5,18.81,9.08,1.11,5.25,6.06,1.01,0.57,42.79,71.14,2.95,93.34,9.14,26.81,15.63,20.17,14823866.0,68.21,20.42,352412.0,107.0,41.0,148.0,31.76,3.52,47.004799999999996,31.847133757961785,20.51282051282051,38.46153846153847,30.3,21.885521885521886,62.96296296296296,66.34615384615384,50.4,40.4
Angol,CL ANG,La Araucanía,52446.0,75.84,very high (dependent),28.57,889583.0,63k1pkrvnfrtxfvyb8rq,CL,14.44,99.56,12.28,8.47,1.51,5.07,7.72,1.33,0.6,56.56,70.86,12.54,94.05,9.58,18.79,17.5,7.13,18682687.0,62.12,18.83,356227.0,133.0,90.0,223.0,29.6,4.25,66.00800000000001,32.16560509554141,15.064102564102564,33.97435897435898,27.1,12.457912457912458,75.08417508417509,73.3974358974359,53.6,40.4
Dalcahue,CL DCH,Los Lagos,14889.0,75.65,very high (dependent),19.31,836666.0,627rrcf2665bb8n6tj0e,CL,9.77,99.32,21.39,7.02,1.06,9.24,16.28,0.35,0.97,21.3,73.9,27.11,95.35,8.93,18.57,18.75,7.43,12604431.0,80.68,9.84,846560.0,48.0,19.0,67.0,34.33,4.5,23.0011,32.48407643312102,32.371794871794876,11.858974358974358,25.6,34.00673400673401,18.51851851851852,59.93589743589743,37.5,31.6
Retiro,CL RET,Maule,22308.0,75.61,very high (dependent),36.64,612294.0,63sgjqp22cry4sxtnr4x,CL,14.93,99.62,44.33,6.79,0.84,3.91,7.06,0.81,0.73,32.43,76.58,3.03,92.73,8.43,8.2,7.59,3.13,7318611.0,68.16,19.93,328071.0,53.0,23.0,76.0,36.84,3.41,27.998400000000004,32.961783439490446,20.192307692307693,36.858974358974365,30.0,42.592592592592595,29.629629629629626,36.53846153846153,36.3,33.2
Maullín,CL MLL,Los Lagos,15054.0,75.61,very high (dependent),42.83,645000.0,62eepkmec60hbqssu0wk,CL,14.23,98.57,35.18,7.22,0.55,6.44,8.03,0.21,0.99,15.17,78.62,21.67,93.9,8.65,24.32,10.17,6.84,6980005.0,83.41,17.66,463664.0,24.0,25.0,49.0,26.53,3.25,12.999700000000002,32.961783439490446,34.294871794871796,31.08974358974359,32.8,6.0606060606060606,2.6936026936026933,33.01282051282051,13.9,23.3
Santa Juana,CL SJU,Biobío,14934.0,75.52,very high (dependent),23.98,840341.0,63k5gvbp741kf34c5te5,CL,15.76,98.95,16.49,11.72,1.13,5.79,7.3,1.7,0.94,33.76,77.91,8.61,92.92,8.96,32.72,10.84,15.39,8957549.0,106.98,17.76,599809.0,41.0,36.0,77.0,48.05,5.16,36.9985,33.439490445859875,52.56410256410257,31.41025641025641,39.1,81.14478114478115,49.831649831649834,44.871794871794876,58.6,48.8
Loncoche,CL LNC,La Araucanía,25096.0,75.41,very high (dependent),31.35,743917.0,63h2h76v0kj3py0f8sf1,CL,15.66,98.67,14.7,13.07,1.09,4.91,11.69,0.9,0.73,41.47,71.93,33.56,94.32,9.08,14.46,12.14,23.53,9798935.0,73.07,18.48,390458.0,66.0,49.0,115.0,33.04,4.58,37.995999999999995,33.7579617834395,24.358974358974358,33.33333333333333,30.5,27.609427609427613,50.841750841750844,48.07692307692308,42.2,36.4
San Carlos,CL SCR,Ñuble,55629.0,74.93,very high (dependent),32.6,700000.0,63sc10jmymwvg3t60qv2,CL,15.78,99.59,17.05,10.06,1.04,5.9,8.26,2.89,0.77,41.27,71.73,2.96,93.31,9.18,21.52,14.15,10.36,16665138.0,65.1,22.22,299576.0,35.0,51.0,86.0,61.63,1.55,53.0018,34.07643312101911,17.628205128205128,44.55128205128205,32.1,95.45454545454545,66.66666666666666,69.87179487179486,77.3,54.7
Pichilemu,CL PLM,Libertador General Bernardo O'Higgins,19794.0,74.88,very high (dependent),24.84,803713.0,63uu7ss6d70ushq5brvc,CL,12.58,99.55,6.7,12.49,0.74,3.12,6.55,0.84,0.93,48.31,57.96,5.9,94.7,10.09,11.3,24.15,2.88,18487467.0,215.08,21.62,933993.0,77.0,59.0,136.0,38.97,6.87,52.9992,34.39490445859873,84.61538461538461,41.98717948717949,53.7,51.178451178451176,66.32996632996633,72.43589743589743,63.3,58.5
Puente Alto,CL PTA,Metropolitana de Santiago,564435.0,74.85,very high (dependent),20.72,1142000.0,66jbfkvme8skdr4g662n,CL,10.81,99.91,0.36,9.31,1.29,7.31,8.69,1.35,0.68,79.33,73.09,9.2,96.49,10.43,57.51,18.82,10.84,127416955.0,41.71,21.75,225742.0,613.0,314.0,927.0,37.22,1.64,345.02939999999995,34.713375796178354,2.8846153846153846,42.30769230769231,26.6,44.78114478114478,98.98989898989899,97.75641025641025,80.5,53.6
Padre Las Casas,CL PLC,La Araucanía,80567.0,74.82,very high (dependent),35.21,803936.0,63h7kbqb36e6ctvuj34m,CL,11.61,98.6,7.26,12.41,1.33,7.21,8.62,0.7,1.01,39.93,76.75,51.33,94.31,9.33,45.8,13.21,12.06,22635080.0,53.69,20.07,280947.0,108.0,79.0,187.0,44.39,2.32,83.0093,35.031847133757964,9.935897435897436,37.5,27.5,71.38047138047138,80.13468013468014,78.84615384615384,76.8,52.2
Illapel,CL ILL,Coquimbo,31732.0,74.18,very high (dependent),28.44,953910.0,66ms908un5stzp7dw80v,CL,11.67,99.48,5.34,8.16,0.96,5.48,4.52,19.66,1.4,43.98,68.89,8.4,94.68,9.37,21.14,17.2,9.29,9735986.0,64.96,22.01,306819.0,,,,,,,35.35031847133759,17.307692307692307,43.269230769230774,32.0,,,47.43589743589743,47.4,39.7
Los Muermos,CL LMU,Los Lagos,17138.0,74.15,very high (dependent),31.41,767580.0,62esmxup6j1kfy2026v7,CL,11.6,98.94,36.54,7.53,0.79,6.34,7.17,0.18,0.41,26.04,71.85,15.7,93.95,8.46,15.63,12.26,3.4,6447649.0,70.16,19.4,376219.0,26.0,38.0,64.0,53.13,3.73,34.0032,35.6687898089172,22.756410256410255,35.256410256410255,31.2,89.22558922558923,45.45454545454545,29.166666666666668,54.6,42.9
