unit_id,unit_anchor,region,unit_size,sector,coordination_tier,n_comunas_sharing,n_action_archetypes,instrument_class,viable_anchor,actor_route,bundle_feasible
39,Cabrero,Región del Bío-Bío,9,Transportation,highly_coordinated,4,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
39,Cabrero,Región del Bío-Bío,9,Transportation,semi_coordinated,4,5,programmatic / blended,True,municipal applicant,True
39,Cabrero,Región del Bío-Bío,9,Waste,highly_coordinated,4,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
39,Cabrero,Región del Bío-Bío,9,Waste,semi_coordinated,4,7,programmatic / blended,True,municipal applicant,True
40,Los Vilos,Región de Coquimbo,5,Transportation,highly_coordinated,4,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
40,Los Vilos,Región de Coquimbo,5,Transportation,semi_coordinated,4,5,programmatic / blended,True,municipal applicant,True
41,Talca,Región del Maule,4,Stationary Energy,highly_coordinated,4,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
41,Talca,Región del Maule,4,Stationary Energy,semi_coordinated,4,9,programmatic / blended,True,municipal applicant,True
42,Ovalle,Región de Coquimbo,4,Stationary Energy,highly_coordinated,4,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
42,Ovalle,Región de Coquimbo,4,Stationary Energy,semi_coordinated,4,9,programmatic / blended,True,municipal applicant,True
44,Nacimiento,Región del Bío-Bío,5,Transportation,highly_coordinated,4,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
44,Nacimiento,Región del Bío-Bío,5,Transportation,semi_coordinated,4,5,programmatic / blended,True,municipal applicant,True
46,Quirihue,Región de Ñuble,4,Stationary Energy,highly_coordinated,4,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
46,Quirihue,Región de Ñuble,4,Stationary Energy,semi_coordinated,4,9,programmatic / blended,True,municipal applicant,True
51,La Ligua,Región de Valparaíso,5,Stationary Energy,highly_coordinated,4,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
51,La Ligua,Región de Valparaíso,5,Stationary Energy,semi_coordinated,4,9,programmatic / blended,True,municipal applicant,True
52,Pichilemu,Región del Libertador Bernardo O'Higgins,6,Stationary Energy,highly_coordinated,4,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
52,Pichilemu,Región del Libertador Bernardo O'Higgins,6,Stationary Energy,semi_coordinated,4,9,programmatic / blended,True,municipal applicant,True
53,Villarrica,Región de La Araucanía,5,Waste,highly_coordinated,4,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
53,Villarrica,Región de La Araucanía,5,Waste,semi_coordinated,4,7,programmatic / blended,True,municipal applicant,True
55,Purén,Región de La Araucanía,4,Stationary Energy,highly_coordinated,4,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
55,Purén,Región de La Araucanía,4,Stationary Energy,semi_coordinated,4,9,programmatic / blended,True,municipal applicant,True
57,Arica,Región de Arica y Parinacota,4,Stationary Energy,highly_coordinated,4,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
57,Arica,Región de Arica y Parinacota,4,Stationary Energy,semi_coordinated,4,9,programmatic / blended,True,municipal applicant,True
66,Vallenar,Región de Atacama,5,Stationary Energy,highly_coordinated,4,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
66,Vallenar,Región de Atacama,5,Stationary Energy,semi_coordinated,4,9,programmatic / blended,True,municipal applicant,True
67,Lebu,Región del Bío-Bío,6,Transportation,highly_coordinated,4,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
67,Lebu,Región del Bío-Bío,6,Transportation,semi_coordinated,4,5,programmatic / blended,True,municipal applicant,True
